read from x2_15.txt(100000,)TPS: 62500, ETA: 1 minute, 19 seconds
TPS: 6362, ETA: 12 minutes, 37 seconds
TPS: 6363, ETA: 12 minutes, 37 seconds
TPS: 6364, ETA: 12 minutes, 37 seconds
TPS: 6364, ETA: 12 minutes, 37 seconds
TPS: 6365, ETA: 12 minutes, 36 seconds
TPS: 6366, ETA: 12 minutes, 36 seconds
TPS: 6366, ETA: 12 minutes, 36 seconds
TPS: 6367, ETA: 12 minutes, 36 seconds
TPS: 6367, ETA: 12 minutes, 36 seconds
TPS: 6368, ETA: 12 minutes, 36 seconds
TPS: 6369, ETA: 12 minutes, 36 seconds
TPS: 6370, ETA: 12 minutes, 35 seconds
TPS: 6370, ETA: 12 minutes, 35 seconds
TPS: 6371, ETA: 12 minutes, 35 seconds
TPS: 6371, ETA: 12 minutes, 35 seconds
TPS: 6372, ETA: 12 minutes, 35 seconds
TPS: 6373, ETA: 12 minutes, 35 seconds
TPS: 6373, ETA: 12 minutes, 34 seconds
TPS: 6374, ETA: 12 minutes, 34 seconds
TPS: 6374, ETA: 12 minutes, 34 seconds
TPS: 6375, ETA: 12 minutes, 34 seconds
TPS: 6376, ETA: 12 minutes, 34 seconds
TPS: 6376, ETA: 12 minutes, 34 seconds
TPS: 6377, ETA: 12 minutes, 34 seconds
TPS: 6378, ETA: 12 minutes, 33 seconds
TPS: 6378, ETA: 12 minutes, 33 seconds
TPS: 6379, ETA: 12 minutes, 33 seconds
TPS: 6379, ETA: 12 minutes, 33 seconds
TPS: 6380, ETA: 12 minutes, 33 seconds
TPS: 6381, ETA: 12 minutes, 33 seconds
TPS: 6381, ETA: 12 minutes, 32 seconds
TPS: 6382, ETA: 12 minutes, 32 seconds
TPS: 6382, ETA: 12 minutes, 32 seconds
TPS: 6383, ETA: 12 minutes, 32 seconds
TPS: 6384, ETA: 12 minutes, 32 seconds
TPS: 6384, ETA: 12 minutes, 32 seconds
TPS: 6385, ETA: 12 minutes, 32 seconds
TPS: 6386, ETA: 12 minutes, 31 seconds
TPS: 6386, ETA: 12 minutes, 31 seconds
TPS: 6387, ETA: 12 minutes, 31 seconds
TPS: 6387, ETA: 12 minutes, 31 seconds
TPS: 6370, ETA: 12 minutes, 33 seconds
TPS: 6384, ETA: 12 minutes, 31 seconds
TPS: 6389, ETA: 12 minutes, 31 seconds
TPS: 6389, ETA: 12 minutes, 30 seconds
TPS: 6390, ETA: 12 minutes, 30 seconds
TPS: 6390, ETA: 12 minutes, 30 seconds
TPS: 6388, ETA: 12 minutes, 30 seconds
TPS: 6391, ETA: 12 minutes, 30 seconds
TPS: 6392, ETA: 12 minutes, 30 seconds
TPS: 6392, ETA: 12 minutes, 30 seconds
TPS: 6393, ETA: 12 minutes, 29 seconds
TPS: 6394, ETA: 12 minutes, 29 seconds
TPS: 6394, ETA: 12 minutes, 29 seconds
TPS: 6395, ETA: 12 minutes, 29 seconds
TPS: 6395, ETA: 12 minutes, 29 seconds
TPS: 6396, ETA: 12 minutes, 29 seconds
TPS: 6396, ETA: 12 minutes, 29 seconds
TPS: 6397, ETA: 12 minutes, 28 seconds
TPS: 6397, ETA: 12 minutes, 28 seconds
TPS: 6398, ETA: 12 minutes, 28 seconds
TPS: 6398, ETA: 12 minutes, 28 seconds
TPS: 6398, ETA: 12 minutes, 28 seconds
TPS: 6399, ETA: 12 minutes, 28 seconds
TPS: 6400, ETA: 12 minutes, 28 seconds
TPS: 6400, ETA: 12 minutes, 27 seconds
TPS: 6395, ETA: 12 minutes, 28 seconds
TPS: 6401, ETA: 12 minutes, 27 seconds
TPS: 6402, ETA: 12 minutes, 27 seconds
TPS: 6402, ETA: 12 minutes, 27 seconds
TPS: 6403, ETA: 12 minutes, 27 seconds
TPS: 6403, ETA: 12 minutes, 27 seconds
TPS: 6404, ETA: 12 minutes, 27 seconds
TPS: 6404, ETA: 12 minutes, 26 seconds
TPS: 6405, ETA: 12 minutes, 26 seconds
TPS: 6406, ETA: 12 minutes, 26 seconds
TPS: 6406, ETA: 12 minutes, 26 seconds
TPS: 6406, ETA: 12 minutes, 26 seconds
TPS: 6407, ETA: 12 minutes, 26 seconds
TPS: 6407, ETA: 12 minutes, 26 seconds
TPS: 6408, ETA: 12 minutes, 25 seconds
TPS: 6408, ETA: 12 minutes, 25 seconds
